cliente_id,faixa_etaria,dispositivo_principal,conteudo_preferido,tipo_plano,periodo_uso
129,60+ anos,Smart TV,Documentários,Premium,Tarde
46,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
135,60+ anos,Smart TV,Documentários,Premium,Tarde
157,26-40 anos,Smartphone,Animes,Básico,Fim de semana
91,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
30,18-25 anos,Smartphone,Séries,Padrão,Noite
97,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
99,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
96,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
141,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
20,18-25 anos,Smartphone,Séries,Básico,Noite
57,26-40 anos,Smart TV,Filmes,Padrão,Noite
16,18-25 anos,Smartphone,Séries,Básico,Noite
70,26-40 anos,Smart TV,Filmes,Padrão,Noite
25,18-25 anos,Smartphone,Séries,Básico,Noite
31,18-25 anos,Smartphone,Séries,Padrão,Noite
123,41-60 anos,Tablet,Filmes,Padrão,Noite
110,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
94,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
66,26-40 anos,Smart TV,Filmes,Padrão,Noite
151,41-60 anos,Smart TV,Séries,Padrão,Noite
19,18-25 anos,Smartphone,Séries,Básico,Noite
13,18-25 anos,Smartphone,Séries,Básico,Noite
10,18-25 anos,Smartphone,Séries,Básico,Noite
32,18-25 anos,Smartphone,Séries,Padrão,Noite
82,26-40 anos,Smart TV,Séries,Premium,Noite
52,26-40 anos,Smart TV,Filmes,Padrão,Noite
140,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
126,60+ anos,Smart TV,Documentários,Premium,Tarde
147,18-25 anos,Smart TV,Filmes,Padrão,Noite
146,18-25 anos,Tablet,Animes,Básico,Tarde
76,26-40 anos,Smart TV,Séries,Premium,Noite
138,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
56,26-40 anos,Smart TV,Filmes,Padrão,Noite
127,60+ anos,Smart TV,Documentários,Premium,Tarde
85,26-40 anos,Smart TV,Séries,Premium,Noite
155,60+ anos,Smartphone,Séries,Básico,Noite
43,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
68,26-40 anos,Smart TV,Filmes,Padrão,Noite
118,41-60 anos,Tablet,Filmes,Padrão,Noite
27,18-25 anos,Smartphone,Séries,Básico,Noite
137,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
79,26-40 anos,Smart TV,Séries,Premium,Noite
150,41-60 anos,Smartphone,Séries,Premium,Fim de semana
37,18-25 anos,Smartphone,Séries,Padrão,Noite
77,26-40 anos,Smart TV,Séries,Premium,Noite
23,18-25 anos,Smartphone,Séries,Básico,Noite
134,60+ anos,Smart TV,Documentários,Premium,Tarde
142,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
12,18-25 anos,Smartphone,Séries,Básico,Noite
80,26-40 anos,Smart TV,Séries,Premium,Noite
69,26-40 anos,Smart TV,Filmes,Padrão,Noite
124,60+ anos,Smart TV,Documentários,Premium,Tarde
28,18-25 anos,Smartphone,Séries,Básico,Noite
87,26-40 anos,Smart TV,Séries,Premium,Noite
128,60+ anos,Smart TV,Documentários,Premium,Tarde
42,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
5,18-25 anos,Smartphone,Séries,Básico,Noite
33,18-25 anos,Smartphone,Séries,Padrão,Noite
61,26-40 anos,Smart TV,Filmes,Padrão,Noite
152,18-25 anos,Smart TV,Séries,Premium,Noite
67,26-40 anos,Smart TV,Filmes,Padrão,Noite
17,18-25 anos,Smartphone,Séries,Básico,Noite
125,60+ anos,Smart TV,Documentários,Premium,Tarde
11,18-25 anos,Smartphone,Séries,Básico,Noite
109,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
105,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
1,18-25 anos,Smartphone,Séries,Básico,Noite
115,41-60 anos,Tablet,Filmes,Padrão,Noite
65,26-40 anos,Smart TV,Filmes,Padrão,Noite
45,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
83,26-40 anos,Smart TV,Séries,Premium,Noite
29,18-25 anos,Smartphone,Séries,Padrão,Noite
41,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
145,18-25 anos,Smartphone,Animes,Padrão,Noite
26,18-25 anos,Smartphone,Séries,Básico,Noite
24,18-25 anos,Smartphone,Séries,Básico,Noite
112,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
40,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
86,26-40 anos,Smart TV,Séries,Premium,Noite
102,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
154,60+ anos,Notebook/PC,Filmes clássicos,Premium,Noite
133,60+ anos,Smart TV,Documentários,Premium,Tarde
48,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
116,41-60 anos,Tablet,Filmes,Padrão,Noite
62,26-40 anos,Smart TV,Filmes,Padrão,Noite
74,26-40 anos,Smart TV,Séries,Premium,Noite
34,18-25 anos,Smartphone,Séries,Padrão,Noite
106,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
113,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
120,41-60 anos,Tablet,Filmes,Padrão,Noite
63,26-40 anos,Smart TV,Filmes,Padrão,Noite
95,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
98,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
54,26-40 anos,Smart TV,Filmes,Padrão,Noite
6,18-25 anos,Smartphone,Séries,Básico,Noite
111,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
119,41-60 anos,Tablet,Filmes,Padrão,Noite
50,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
36,18-25 anos,Smartphone,Séries,Padrão,Noite
81,26-40 anos,Smart TV,Séries,Premium,Noite
78,26-40 anos,Smart TV,Séries,Premium,Noite
35,18-25 anos,Smartphone,Séries,Padrão,Noite
47,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
8,18-25 anos,Smartphone,Séries,Básico,Noite
44,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
71,26-40 anos,Smart TV,Filmes,Padrão,Noite
148,41-60 anos,Smartphone,Séries,Padrão,Noite
92,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
84,26-40 anos,Smart TV,Séries,Premium,Noite
143,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
144,26-40 anos,Tablet,Documentários,Padrão,Tarde
90,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
9,18-25 anos,Smartphone,Séries,Básico,Noite
114,41-60 anos,Tablet,Filmes,Padrão,Noite
14,18-25 anos,Smartphone,Séries,Básico,Noite
60,26-40 anos,Smart TV,Filmes,Padrão,Noite
136,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
4,18-25 anos,Smartphone,Séries,Básico,Noite
18,18-25 anos,Smartphone,Séries,Básico,Noite
39,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
73,26-40 anos,Smart TV,Séries,Premium,Noite
139,60+ anos,Tablet,Filmes clássicos,Básico,Tarde
7,18-25 anos,Smartphone,Séries,Básico,Noite
132,60+ anos,Smart TV,Documentários,Premium,Tarde
101,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
3,18-25 anos,Smartphone,Séries,Básico,Noite
121,41-60 anos,Tablet,Filmes,Padrão,Noite
64,26-40 anos,Smart TV,Filmes,Padrão,Noite
55,26-40 anos,Smart TV,Filmes,Padrão,Noite
108,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
51,26-40 anos,Smart TV,Filmes,Padrão,Noite
156,26-40 anos,Smartphone,Animes,Padrão,Noite
59,26-40 anos,Smart TV,Filmes,Padrão,Noite
49,18-25 anos,Notebook/PC,Animes,Básico,Madrugada
89,26-40 anos,Notebook/PC,Documentários,Padrão,Fim de semana
22,18-25 anos,Smartphone,Séries,Básico,Noite
58,26-40 anos,Smart TV,Filmes,Padrão,Noite
153,41-60 anos,Smart TV,Filmes,Padrão,Tarde
130,60+ anos,Smart TV,Documentários,Premium,Tarde
38,18-25 anos,Smartphone,Séries,Padrão,Noite
149,41-60 anos,Smartphone,Filmes,Padrão,Manhã
2,18-25 anos,Smartphone,Séries,Básico,Noite
53,26-40 anos,Smart TV,Filmes,Padrão,Noite
131,60+ anos,Smart TV,Documentários,Premium,Tarde
104,41-60 anos,Smart TV,Documentários,Premium,Fim de semana
